Iteration,Address,Gas Used,Cost (ETH),Latency (s),User Index,Batch Size
1,0x91eB67C5eaA197B1a58d8274D1ad36cB50792Ed6,43464,0.00006519600065196,9.336,50,1
2,0x591F3084a57F796082906B8a42512A24b42dC76A,23564,0.00003534600035346,11.356,1,1
2,0xf9858762714E5Df6e8F40bb31c6d9dEB5015a687,23564,0.00003534600035346,9.758,2,1
2,0x0abD193402016637939921aDd5B177Ecce861b4C,23564,0.00003534600035346,10.055,3,1
2,0xb9754918254D0Bb2ea35498C5064Ac713ECb0292,23564,0.00003534600035346,10.065,4,1
2,0xF838d9E41ca547086b414D37dC18370C1d9E4a02,23564,0.00003534600035346,9.039,5,1
2,0x2D4F7339377D8Ee4fF5f3396A6D643b43625dAA8,23564,0.00003534600035346,11.430,6,1
2,0x4E88d374D3A17F76f66EF05B8A310BE67f7ACa55,23564,0.00003534600035346,5.528,7,1
2,0x14c1Cf5410e9981c2f21632BfA12B0AEa7012610,23564,0.00003534600035346,9.144,8,1
2,0xd19C22BE013954fcFAb1aaFFEd4e684363C625a7,23564,0.00003534600035346,9.370,9,1
2,0xdB378e3eC4e55E10d64AD9E66da37FA5DfD94F89,23564,0.00003534600035346,9.700,10,1
2,0xFC3d766b4274FE65458F8A0Ec156064694DD3a23,23564,0.00003534600035346,9.832,11,1
2,0xCedDacF97f637530aF68B2Fa22dE18333cffFF2a,23564,0.00003534600035346,9.311,12,1
2,0xACB1c1Fd40730db25BdB8Ad7F4723F7F18C45760,23564,0.00003534600035346,9.364,13,1
2,0xC419c4c288da14f7F64a617c015A22A356534351,23564,0.00003534600035346,9.299,14,1
2,0xBBa08CCc84c60783bD6B43acf74D5c40Dd9122A4,23564,0.00003534600035346,8.973,15,1
2,0xE1B847DB0A9105Aba4f9F7EC8de0c02629EEdB67,23564,0.00003534600035346,9.420,16,1
2,0x16F3E0472ddE05A3054568C68122Aab714119E58,23564,0.00003534600035346,9.122,17,1
2,0x56843cb1fd90213f09aE8EC98D27B7abc8621cDc,23564,0.00003534600035346,9.439,18,1
2,0x69BfeEfC77E1a28A742414370F65e43bb1b23EFF,23564,0.00003534600035346,9.157,19,1
2,0x3c2A9546ee55909a28F55f2ecABd449d26700CE2,23564,0.00003534600035346,9.081,20,1
2,0x22183A64a42E7d24445673621C2504A356B58BfF,23564,0.00003534600035346,9.567,21,1
2,0x4a6280c619aB9DaD26C8a085b108EA9D41bA364B,23564,0.00003534600035346,9.178,22,1
2,0x8F863BFfaA7a8652252b98bFEad1BEB68DAd5eb3,23564,0.00003534600035346,9.273,23,1
2,0x1621F5a14a1627ef15Ec565ab95b50aa1a43b89C,23564,0.00003534600035346,5.702,24,1
2,0xa32007424B8382489EbfB2beb3dE6937689479e8,23564,0.00003534600035346,10.013,25,1
2,0xAE906d2a383fC49Fc3EDEf386D7c5E14Ff25A716,23564,0.00003534600035346,10.293,26,1
2,0xE94A59ae4FFbC94b0fbFCEde04745b85eA37Ec8e,23564,0.00003534600035346,9.287,27,1
2,0x9A880e5A12Bcc313897f67568450890870983b7d,23564,0.00003534600035346,9.979,28,1
2,0x4Bf75Eb43741A99f79dC0777bA3AD09Cc9aC729b,23564,0.00003534600035346,8.959,29,1
2,0xEb1B9e368E2458E658DB3B01eeb49Ebb394498a2,23564,0.00003534600035346,9.829,30,1
2,0xb7db1Fc0410D0c669276d9BfF5a26802e582F7EB,23564,0.00003534600035346,9.163,31,1
2,0x807070454F4B9c3410722dD830024c37158ec3E4,23564,0.00003534600035346,9.594,32,1
2,0xB3c9d2FE62f8769F902bFDF1DC0b61461a607a03,23564,0.00003534600035346,9.357,33,1
2,0x1C5e8e278c7e0Ad646b1a949Afb2Eb3D53C5230d,23564,0.00003534600035346,9.684,34,1
2,0x33342ebEbE2e2cFB93f56596342F2E8E06D27804,23564,0.00003534600035346,9.873,35,1
2,0x90384503875dfCc0f5024b51bc88834F79a39d65,23564,0.00003534600035346,10.265,36,1
2,0x702BFb0d7c58c240cA26B5c05904785AE55da220,23564,0.00003534600035346,9.723,37,1
2,0x07a5AEd9E7995aBEe662a72979F84D7eA63b67c3,23564,0.00003534600035346,10.170,38,1
2,0x617B1B27019EEA09BFBABD4D98d22C745BE0BAaf,23564,0.00003534600035346,41.424,39,1
2,0xA0811d623eA618762b004305C6ea3d44ED510dE8,23564,0.00003534600035346,9.424,40,1
2,0x7f8D6f89EdBB3AEb6bE249bF89D161ADd93a96Fe,23564,0.00003534600035346,9.349,41,1
2,0x492A26f80e70152265ccb889840a60F6BfCA6Acf,23564,0.00003534600035346,9.007,42,1
2,0x30Bb26B79A7a4612b103d06C6DB0fe04c010ddAF,23564,0.00003534600035346,9.054,43,1
2,0x77D524474BDA422B3B440f6c88C47432dE623877,23564,0.00003534600035346,8.899,44,1
2,0x98A1C8460099d6e9eEb646763Bf80D8457444172,23564,0.00003534600035346,10.662,45,1
2,0x1BC65309b0128629cD92B97D0d5064e7E46F5dad,23564,0.00003534600035346,9.244,46,1
2,0x23Da35F8391894EDE03f47dcCB9573F4755d1A2F,23564,0.00003534600035346,8.990,47,1
2,0x29E1c9727dAD9f7756CD99Db38c1fbDC02d5377a,23564,0.00003534600035346,11.811,48,1
2,0x31E6EaaF0Fcc3A514A1a3C7402d0a7872EB94Fd2,23564,0.00003534600035346,9.285,49,1
2,0x91eB67C5eaA197B1a58d8274D1ad36cB50792Ed6,23564,0.00003534600035346,10.390,50,1
3,0x591F3084a57F796082906B8a42512A24b42dC76A,23564,0.00003534600035346,11.387,1,1
3,0xf9858762714E5Df6e8F40bb31c6d9dEB5015a687,23564,0.00003534600035346,6.167,2,1
3,0x0abD193402016637939921aDd5B177Ecce861b4C,23564,0.00003534600035346,9.524,3,1
3,0xb9754918254D0Bb2ea35498C5064Ac713ECb0292,23564,0.00003534600035346,9.329,4,1
3,0xF838d9E41ca547086b414D37dC18370C1d9E4a02,23564,0.00003534600035346,5.591,5,1
3,0x2D4F7339377D8Ee4fF5f3396A6D643b43625dAA8,23564,0.00003534600035346,10.256,6,1
3,0x4E88d374D3A17F76f66EF05B8A310BE67f7ACa55,23564,0.00003534600035346,11.379,7,1
3,0x14c1Cf5410e9981c2f21632BfA12B0AEa7012610,23564,0.00003534600035346,10.697,8,1
3,0xd19C22BE013954fcFAb1aaFFEd4e684363C625a7,23564,0.00003534600035346,5.597,9,1
3,0xdB378e3eC4e55E10d64AD9E66da37FA5DfD94F89,23564,0.00003534600035346,8.999,10,1
3,0xFC3d766b4274FE65458F8A0Ec156064694DD3a23,23564,0.00003534600035346,10.403,11,1
3,0xCedDacF97f637530aF68B2Fa22dE18333cffFF2a,23564,0.00003534600035346,6.007,12,1
3,0xACB1c1Fd40730db25BdB8Ad7F4723F7F18C45760,23564,0.00003534600035346,9.378,13,1
3,0xC419c4c288da14f7F64a617c015A22A356534351,23564,0.00003534600035346,9.405,14,1
3,0xBBa08CCc84c60783bD6B43acf74D5c40Dd9122A4,23564,0.00003534600035346,10.186,15,1
3,0xE1B847DB0A9105Aba4f9F7EC8de0c02629EEdB67,23564,0.00003534600035346,9.270,16,1
3,0x16F3E0472ddE05A3054568C68122Aab714119E58,23564,0.00003534600035346,9.369,17,1
3,0x56843cb1fd90213f09aE8EC98D27B7abc8621cDc,23564,0.00003534600035346,9.704,18,1
3,0x69BfeEfC77E1a28A742414370F65e43bb1b23EFF,23564,0.00003534600035346,11.254,19,1
3,0x3c2A9546ee55909a28F55f2ecABd449d26700CE2,23564,0.00003534600035346,11.198,20,1
3,0x22183A64a42E7d24445673621C2504A356B58BfF,23564,0.00003534600035346,8.789,21,1
3,0x4a6280c619aB9DaD26C8a085b108EA9D41bA364B,23564,0.00003534600035346,9.216,22,1
3,0x8F863BFfaA7a8652252b98bFEad1BEB68DAd5eb3,23564,0.00003534600035346,9.101,23,1
3,0x1621F5a14a1627ef15Ec565ab95b50aa1a43b89C,23564,0.00003534600035346,9.419,24,1
3,0xa32007424B8382489EbfB2beb3dE6937689479e8,23564,0.00003534600035346,9.109,25,1
3,0xAE906d2a383fC49Fc3EDEf386D7c5E14Ff25A716,23564,0.00003534600035346,9.266,26,1
3,0xE94A59ae4FFbC94b0fbFCEde04745b85eA37Ec8e,23564,0.00003534600035346,9.001,27,1
3,0x9A880e5A12Bcc313897f67568450890870983b7d,23564,0.00003534600035346,9.067,28,1
3,0x4Bf75Eb43741A99f79dC0777bA3AD09Cc9aC729b,23564,0.00003534600035346,6.086,29,1
3,0xEb1B9e368E2458E658DB3B01eeb49Ebb394498a2,23564,0.00003534600035346,9.505,30,1
3,0xb7db1Fc0410D0c669276d9BfF5a26802e582F7EB,23564,0.00003534600035346,9.199,31,1
3,0x807070454F4B9c3410722dD830024c37158ec3E4,23564,0.00003534600035346,9.281,32,1
3,0xB3c9d2FE62f8769F902bFDF1DC0b61461a607a03,23564,0.00003534600035346,9.299,33,1
3,0x1C5e8e278c7e0Ad646b1a949Afb2Eb3D53C5230d,23564,0.00003534600035346,9.383,34,1
3,0x33342ebEbE2e2cFB93f56596342F2E8E06D27804,23564,0.00003534600035346,10.293,35,1
3,0x90384503875dfCc0f5024b51bc88834F79a39d65,23564,0.00003534600035346,9.874,36,1
3,0x702BFb0d7c58c240cA26B5c05904785AE55da220,23564,0.00003534600035346,9.159,37,1
